Time,Severity of Accident,Number of Accidents,Month,Year
00:00,ΝΕΚΡΟΙ,1,January,2018
00:00,ΒΑΡΙΑ,2,January,2018
00:00,ΕΛΑΦΡΑ,19,January,2018
00:00,ΝΕΚΡΟΙ,1,February,2018
00:00,ΒΑΡΙΑ,2,February,2018
00:00,ΕΛΑΦΡΑ,22,February,2018
00:00,ΝΕΚΡΟΙ,3,March,2018
00:00,ΒΑΡΙΑ,0,March,2018
00:00,ΕΛΑΦΡΑ,16,March,2018
00:00,ΝΕΚΡΟΙ,3,April,2018
00:00,ΒΑΡΙΑ,1,April,2018
00:00,ΕΛΑΦΡΑ,17,April,2018
00:00,ΝΕΚΡΟΙ,2,May,2018
00:00,ΒΑΡΙΑ,5,May,2018
00:00,ΕΛΑΦΡΑ,26,May,2018
00:00,ΝΕΚΡΟΙ,2,June,2018
00:00,ΒΑΡΙΑ,0,June,2018
00:00,ΕΛΑΦΡΑ,19,June,2018
00:00,ΝΕΚΡΟΙ,3,July,2018
00:00,ΒΑΡΙΑ,1,July,2018
00:00,ΕΛΑΦΡΑ,37,July,2018
00:00,ΝΕΚΡΟΙ,3,August,2018
00:00,ΒΑΡΙΑ,4,August,2018
00:00,ΕΛΑΦΡΑ,26,August,2018
00:00,ΝΕΚΡΟΙ,1,September,2018
00:00,ΒΑΡΙΑ,4,September,2018
00:00,ΕΛΑΦΡΑ,29,September,2018
00:00,ΝΕΚΡΟΙ,0,October,2018
00:00,ΒΑΡΙΑ,2,October,2018
00:00,ΕΛΑΦΡΑ,30,October,2018
00:00,ΝΕΚΡΟΙ,4,November,2018
00:00,ΒΑΡΙΑ,4,November,2018
00:00,ΕΛΑΦΡΑ,25,November,2018
00:00,ΝΕΚΡΟΙ,0,December,2018
00:00,ΒΑΡΙΑ,1,December,2018
00:00,ΕΛΑΦΡΑ,20,December,2018
01:00,ΝΕΚΡΟΙ,1,January,2018
01:00,ΒΑΡΙΑ,3,January,2018
01:00,ΕΛΑΦΡΑ,21,January,2018
01:00,ΝΕΚΡΟΙ,2,February,2018
01:00,ΒΑΡΙΑ,1,February,2018
01:00,ΕΛΑΦΡΑ,25,February,2018
01:00,ΝΕΚΡΟΙ,0,March,2018
01:00,ΒΑΡΙΑ,2,March,2018
01:00,ΕΛΑΦΡΑ,8,March,2018
01:00,ΝΕΚΡΟΙ,0,April,2018
01:00,ΒΑΡΙΑ,0,April,2018
01:00,ΕΛΑΦΡΑ,24,April,2018
01:00,ΝΕΚΡΟΙ,0,May,2018
01:00,ΒΑΡΙΑ,0,May,2018
01:00,ΕΛΑΦΡΑ,16,May,2018
01:00,ΝΕΚΡΟΙ,0,June,2018
01:00,ΒΑΡΙΑ,2,June,2018
01:00,ΕΛΑΦΡΑ,22,June,2018
01:00,ΝΕΚΡΟΙ,0,July,2018
01:00,ΒΑΡΙΑ,3,July,2018
01:00,ΕΛΑΦΡΑ,26,July,2018
01:00,ΝΕΚΡΟΙ,2,August,2018
01:00,ΒΑΡΙΑ,1,August,2018
01:00,ΕΛΑΦΡΑ,27,August,2018
01:00,ΝΕΚΡΟΙ,1,September,2018
01:00,ΒΑΡΙΑ,3,September,2018
01:00,ΕΛΑΦΡΑ,16,September,2018
01:00,ΝΕΚΡΟΙ,1,October,2018
01:00,ΒΑΡΙΑ,0,October,2018
01:00,ΕΛΑΦΡΑ,15,October,2018
01:00,ΝΕΚΡΟΙ,3,November,2018
01:00,ΒΑΡΙΑ,2,November,2018
01:00,ΕΛΑΦΡΑ,7,November,2018
01:00,ΝΕΚΡΟΙ,3,December,2018
01:00,ΒΑΡΙΑ,1,December,2018
01:00,ΕΛΑΦΡΑ,8,December,2018
02:00,ΝΕΚΡΟΙ,0,January,2018
02:00,ΒΑΡΙΑ,0,January,2018
02:00,ΕΛΑΦΡΑ,17,January,2018
02:00,ΝΕΚΡΟΙ,1,February,2018
02:00,ΒΑΡΙΑ,2,February,2018
02:00,ΕΛΑΦΡΑ,17,February,2018
02:00,ΝΕΚΡΟΙ,2,March,2018
02:00,ΒΑΡΙΑ,2,March,2018
02:00,ΕΛΑΦΡΑ,14,March,2018
02:00,ΝΕΚΡΟΙ,1,April,2018
02:00,ΒΑΡΙΑ,0,April,2018
02:00,ΕΛΑΦΡΑ,23,April,2018
02:00,ΝΕΚΡΟΙ,2,May,2018
